2017-01-30 19:38:14.3927|INFO|ArtCatalog.App_Start.PreStartApp|Application Prestart
2017-01-30 19:38:29.8655|INFO|ArtCatalog.MvcApplication|Application Init
2017-01-30 19:38:30.0008|INFO|ArtCatalog.MvcApplication|Application Init
2017-01-30 19:38:30.0994|INFO|ArtCatalog.MvcApplication|Application BeginRequest
2017-01-30 19:38:30.0994|INFO|ArtCatalog.MvcApplication|Application AuthenticateRequest
2017-01-30 19:38:30.1310|INFO|ArtCatalog.MvcApplication|Application AuthorizeRequest
2017-01-30 19:38:30.1310|INFO|ArtCatalog.MvcApplication|Application ResolveRequestCache
2017-01-30 19:38:30.3700|INFO|ArtCatalog.MvcApplication|Session Start
2017-01-30 19:38:30.3700|INFO|ArtCatalog.MvcApplication|Application AcquireRequestState
2017-01-30 19:38:30.4392|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2017-01-30 19:38:54.8886|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2017-01-30 19:38:54.8986|INFO|ArtCatalog.MvcApplication|Application ReleaseRequestState
2017-01-30 19:38:55.0186|INFO|ArtCatalog.MvcApplication|Application UpdateRequestCache
2017-01-30 19:38:55.0327|INFO|ArtCatalog.MvcApplication|Application EndRequest
2017-01-30 19:38:55.0327|INFO|ArtCatalog.MvcApplication|Application PreSendRequestHeaders
2017-01-30 19:38:57.5061|INFO|ArtCatalog.MvcApplication|Application BeginRequest
2017-01-30 19:38:57.5061|INFO|ArtCatalog.MvcApplication|Application AuthenticateRequest
2017-01-30 19:38:57.5411|INFO|ArtCatalog.MvcApplication|Application AuthorizeRequest
2017-01-30 19:38:57.5411|INFO|ArtCatalog.MvcApplication|Application ResolveRequestCache
2017-01-30 19:38:57.5411|INFO|ArtCatalog.MvcApplication|Application AcquireRequestState
2017-01-30 19:38:57.5411|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2017-01-30 19:38:57.6043|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2017-01-30 19:38:57.6043|INFO|ArtCatalog.MvcApplication|Application ReleaseRequestState
2017-01-30 19:38:57.6043|INFO|ArtCatalog.MvcApplication|Application UpdateRequestCache
2017-01-30 19:38:57.6043|INFO|ArtCatalog.MvcApplication|Application EndRequest
2017-01-30 19:38:57.6043|INFO|ArtCatalog.MvcApplication|Application PreSendRequestHeaders
2017-01-30 19:39:25.5739|INFO|ArtCatalog.MvcApplication|Application BeginRequest
2017-01-30 19:39:25.5739|INFO|ArtCatalog.MvcApplication|Application AuthenticateRequest
2017-01-30 19:39:25.5739|INFO|ArtCatalog.MvcApplication|Application AuthorizeRequest
2017-01-30 19:39:25.5789|INFO|ArtCatalog.MvcApplication|Application ResolveRequestCache
2017-01-30 19:39:25.5789|INFO|ArtCatalog.MvcApplication|Application AcquireRequestState
2017-01-30 19:39:25.5789|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2017-01-30 19:39:25.5999|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2017-01-30 19:39:25.5999|INFO|ArtCatalog.MvcApplication|Application ReleaseRequestState
2017-01-30 19:39:25.5999|INFO|ArtCatalog.MvcApplication|Application UpdateRequestCache
