2016-10-22 20:25:41.1413|INFO|ArtCatalog.MvcApplication|Application EndRequest
2016-10-22 20:25:41.1413|INFO|ArtCatalog.MvcApplication|Application PreSendRequestHeaders
2016-10-22 20:25:47.2876|INFO|ArtCatalog.MvcApplication|Application BeginRequest
2016-10-22 20:25:47.2876|INFO|ArtCatalog.MvcApplication|Application AuthenticateRequest
2016-10-22 20:25:47.2876|INFO|ArtCatalog.MvcApplication|Application AuthorizeRequest
2016-10-22 20:25:47.2876|INFO|ArtCatalog.MvcApplication|Application ResolveRequestCache
2016-10-22 20:25:47.2876|INFO|ArtCatalog.MvcApplication|Application AcquireRequestState
2016-10-22 20:25:47.2966|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2016-10-22 20:25:47.5584|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2016-10-22 20:25:47.5584|INFO|ArtCatalog.MvcApplication|Application ReleaseRequestState
2016-10-22 20:25:47.5584|INFO|ArtCatalog.MvcApplication|Application UpdateRequestCache
2016-10-22 20:25:47.5584|INFO|ArtCatalog.MvcApplication|Application EndRequest
2016-10-22 20:25:47.5584|INFO|ArtCatalog.MvcApplication|Application PreSendRequestHeaders
