2016-07-29 15:44:32.1571|INFO|ArtCatalog.App_Start.PreStartApp|Application Prestart
2016-07-29 15:44:45.3460|INFO|ArtCatalog.MvcApplication|Application Init
2016-07-29 15:44:45.4411|INFO|ArtCatalog.MvcApplication|Application Init
2016-07-29 15:44:45.5176|INFO|ArtCatalog.MvcApplication|Application BeginRequest
2016-07-29 15:44:45.5318|INFO|ArtCatalog.MvcApplication|Application AuthenticateRequest
2016-07-29 15:44:45.5479|INFO|ArtCatalog.MvcApplication|Application AuthorizeRequest
2016-07-29 15:44:45.5479|INFO|ArtCatalog.MvcApplication|Application ResolveRequestCache
2016-07-29 15:44:45.7210|INFO|ArtCatalog.MvcApplication|Session Start
2016-07-29 15:44:45.7210|INFO|ArtCatalog.MvcApplication|Application AcquireRequestState
2016-07-29 15:44:45.7667|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2016-07-29 15:45:02.5422|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2016-07-29 15:45:02.5432|INFO|ArtCatalog.MvcApplication|Application ReleaseRequestState
2016-07-29 15:45:02.6352|INFO|ArtCatalog.MvcApplication|Application UpdateRequestCache
2016-07-29 15:45:02.6442|INFO|ArtCatalog.MvcApplication|Application EndRequest
2016-07-29 15:45:02.6442|INFO|ArtCatalog.MvcApplication|Application PreSendRequestHeaders
2016-07-29 15:45:04.8501|INFO|ArtCatalog.MvcApplication|Application BeginRequest
2016-07-29 15:45:04.8501|INFO|ArtCatalog.MvcApplication|Application AuthenticateRequest
2016-07-29 15:45:04.8657|INFO|ArtCatalog.MvcApplication|Application AuthorizeRequest
2016-07-29 15:45:04.8657|INFO|ArtCatalog.MvcApplication|Application ResolveRequestCache
2016-07-29 15:45:04.8657|INFO|ArtCatalog.MvcApplication|Application AcquireRequestState
2016-07-29 15:45:04.8657|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2016-07-29 15:45:04.9126|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2016-07-29 15:45:04.9126|INFO|ArtCatalog.MvcApplication|Application ReleaseRequestState
2016-07-29 15:45:04.9126|INFO|ArtCatalog.MvcApplication|Application UpdateRequestCache
2016-07-29 15:45:04.9126|INFO|ArtCatalog.MvcApplication|Application EndRequest
