2016-11-09 22:03:53.9635|INFO|ArtCatalog.App_Start.PreStartApp|Application Prestart
2016-11-09 22:03:55.1358|INFO|ArtCatalog.MvcApplication|Application Init
2016-11-09 22:03:55.2240|INFO|ArtCatalog.MvcApplication|Application Init
2016-11-09 22:03:55.2474|INFO|ArtCatalog.MvcApplication|Application BeginRequest
2016-11-09 22:03:55.2474|INFO|ArtCatalog.MvcApplication|Application AuthenticateRequest
2016-11-09 22:03:55.2755|INFO|ArtCatalog.MvcApplication|Application AuthorizeRequest
2016-11-09 22:03:55.2765|INFO|ArtCatalog.MvcApplication|Application ResolveRequestCache
2016-11-09 22:03:55.3543|INFO|ArtCatalog.MvcApplication|Session Start
2016-11-09 22:03:55.3543|INFO|ArtCatalog.MvcApplication|Application AcquireRequestState
2016-11-09 22:03:55.4200|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2016-11-09 22:04:18.1662|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2016-11-09 22:04:18.1913|INFO|ArtCatalog.MvcApplication|Application ReleaseRequestState
2016-11-09 22:04:18.2803|INFO|ArtCatalog.MvcApplication|Application UpdateRequestCache
2016-11-09 22:04:18.3013|INFO|ArtCatalog.MvcApplication|Application EndRequest
2016-11-09 22:04:18.3113|INFO|ArtCatalog.MvcApplication|Application PreSendRequestHeaders
2016-11-09 22:04:21.1749|INFO|ArtCatalog.MvcApplication|Application BeginRequest
2016-11-09 22:04:21.1749|INFO|ArtCatalog.MvcApplication|Application AuthenticateRequest
2016-11-09 22:04:21.2199|INFO|ArtCatalog.MvcApplication|Application AuthorizeRequest
2016-11-09 22:04:21.2199|INFO|ArtCatalog.MvcApplication|Application ResolveRequestCache
2016-11-09 22:04:21.2199|INFO|ArtCatalog.MvcApplication|Application AcquireRequestState
2016-11-09 22:04:21.2199|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2016-11-09 22:04:21.3098|INFO|ArtCatalog.MvcApplication|Application PreRequestHandlerExecute
2016-11-09 22:04:21.3098|INFO|ArtCatalog.MvcApplication|Application ReleaseRequestState
2016-11-09 22:04:21.3098|INFO|ArtCatalog.MvcApplication|Application UpdateRequestCache
2016-11-09 22:04:21.3098|INFO|ArtCatalog.MvcApplication|Application EndRequest
